genes,name,ExonLength,chr,chr_start,chr_end,WT_1_log2(cpm),WT_2_log2(cpm),DKO_1_log2(cpm),DKO_2_log2(cpm),logFC_1*WT -1*DKO,logCPM_1*WT -1*DKO,LR_1*WT -1*DKO,PValue_1*WT -1*DKO,FDR_1*WT -1*DKO
Ptprm,"protein tyrosine phosphatase, receptor type, M",5569,17,66666847,67354459,5.083,5.109,0.814,0.775,4.325,4.17,372.36,5.73375503980326e-83,2.64408018121213e-80
Crip2,cysteine rich protein 2,1437,12,113140235,113145504,5.98,5.911,1.142,1.747,4.482,5.011,371.42,9.18404557466333e-83,4.04264987931999e-80
Jup,junction plakoglobin,6436,11,100368957,100397763,6.389,6.365,2.371,2.754,3.808,5.478,366.206,1.25416786978748e-81,5.28059202218346e-79
Vstm4,V-set and transmembrane domain containing 4,2741,14,32856755,32939487,5.076,5.018,-0.001,0.534,4.786,4.102,365.51,1.77741725621422e-81,7.17187862882436e-79
Asb2,ankyrin repeat and SOCS box-containing 2,3542,12,103321141,103356001,7.002,6.908,3.959,3.972,2.993,6.127,362.749,7.09447792092579e-81,2.74811696744981e-78
Tnfaip2,"tumor necrosis factor, alpha-induced protein 2",4984,12,111442468,111455018,5.174,5.083,0.842,0.982,4.236,4.207,357.785,8.54911225605236e-80,3.18421550336965e-77
Rxra,retinoid X receptor alpha,5462,2,27676439,27762957,6.52,6.395,2.93,3.124,3.433,5.588,356.258,1.83793462393025e-79,6.59205885116318e-77
Stab2,stabilin 2,8757,10,86841197,87008025,5.671,5.466,0.869,1.378,4.442,4.64,344.239,7.61485104315264e-77,2.63365062506751e-74
Cela1,"chymotrypsin-like elastase family, member 1",1103,15,100674424,100687920,4.941,4.855,0.568,0.629,4.327,3.973,342.81,1.55960231194659e-76,5.20799613410027e-74
Gpr141,G protein-coupled receptor 141,3433,13,19749681,19824257,4.806,4.436,-1.276,-1.6,6.182,3.657,342.508,1.81444858117275e-76,5.85704002002563e-74
Kcnj10,"potassium inwardly-rectifying channel, subfamily J, member 10",5407,1,172341209,172374085,7.652,7.579,2.975,3.546,4.331,6.687,341.352,3.23944084733594e-76,1.01195952147101e-73
Kitl,kit ligand,5765,10,100015629,100100413,4.017,4.107,-1.691,-1.338,5.686,3.098,340.262,5.59378964128916e-76,1.69282059019513e-73
Cd68,CD68 antigen,1257,11,69664212,69666153,7.741,7.766,4.253,4.574,3.333,6.891,340.176,5.84073700799868e-76,1.71399082380179e-73
Ccl24,chemokine (C-C motif) ligand 24,1289,5,135569936,135573043,3.6,3.781,-2.866,-3.908,7.494,2.712,336.192,4.30714970040611e-75,1.22677757937449e-72
Creg1,cellular repressor of E1A-stimulated genes 1,2362,1,165763745,165775308,8.842,8.761,5.596,5.8,3.101,7.961,327.125,4.0645813957834e-73,1.12461160676475e-70
Hmox1,heme oxygenase 1,2161,8,75093590,75100596,10.863,10.666,5.946,6.465,4.539,9.829,323.424,2.60045809880724e-72,6.99523228579148e-70
Cd302,CD302 antigen,1354,2,60251992,60284488,5.919,5.974,1.8,2.293,3.887,5.043,323.212,2.89232883576809e-72,7.57008444475086e-70
Nav1_1,,15087,1,135434579,135607295,4.592,4.834,-0.69,-0.067,5.111,3.764,319.531,1.83298075775098e-71,4.67120675212118e-69
Hk3,hexokinase 3,3682,13,55005984,55021385,5.412,5.284,1.351,1.659,3.848,4.449,314.286,2.54411579943945e-70,6.31723523122349e-68
Col14a1,"collagen, type XIV, alpha 1",7013,15,55307749,55520803,5.951,5.448,-1.401,-0.339,6.562,4.739,312.072,7.72257506319919e-70,1.86963542280052e-67
Fyb,FYN binding protein,5186,15,6579870,6663313,5.708,5.648,1.291,1.869,4.08,4.764,310.803,1.45955784142344e-69,3.44740442349869e-67
Hs3st2,heparan sulfate (glucosamine) 3-O-sulfotransferase 2,2270,7,121392295,121501768,4.917,4.603,-0.052,-0.532,5.095,3.814,310.403,1.78435108144683e-69,4.11420377922168e-67
Acp2,"acid phosphatase 2, lysosomal",5186,2,91202884,91214098,6.613,6.576,2.371,2.913,3.932,5.687,307.19,8.9400308337577e-69,1.96761951350249e-66
Def6,differentially expressed in FDCP 6,2524,17,28207777,28228608,6.479,6.219,3.055,2.951,3.356,5.49,307.191,8.93591172083454e-69,1.96761951350249e-66
Ptplad2,,6756,4,88396143,88438928,4.802,4.867,0.141,0.69,4.42,3.905,307.101,9.34665238342523e-69,2.01139959291311e-66
Epb4.1l3,,4109,17,69156809,69289985,5.816,5.703,1.427,1.993,4.032,4.848,304.516,3.41887398284135e-68,7.19747296735556e-66
Tgm2,"transglutaminase 2, C polypeptide",4608,2,158116401,158146436,6.231,6.474,3.018,3.14,3.281,5.5,301.32,1.69901049861931e-67,3.50068461034668e-65
Tspan9,tetraspanin 9,4732,6,127961395,128143594,3.791,3.683,-1.276,-2.113,5.517,2.779,291.606,2.2212967747168e-65,4.48146624299115e-63
Timp2,tissue inhibitor of metalloproteinase 2,3896,11,118301068,118355740,6.529,6.414,3.292,3.525,3.062,5.637,288.897,8.6477572259892e-65,1.70907920360162e-62
Pygl,liver glycogen phosphorylase,3828,12,70190810,70231488,4.946,5.207,0.923,1.183,4.042,4.171,283.859,1.08297674713489e-63,2.09750936385085e-61
Aif1,allograft inflammatory factor 1,1532,17,35170990,35176068,6.304,6.248,2.164,2.725,3.809,5.377,281.479,3.5746310379172e-63,6.78759352376278e-61
Tlr13,toll-like receptor 13,4060,X,106143203,106160493,5.393,5.386,1.408,1.882,3.736,4.497,280.175,6.87865988098954e-63,1.28101812091351e-60
Cmbl,carboxymethylenebutenolidase-like (Pseudomonas),1228,15,31568790,31590119,4.567,4.321,-0.953,-0.17,5.011,3.498,280.059,7.28924469961743e-63,1.33186878624708e-60
Vcam1,vascular cell adhesion molecule 1,3398,3,116110019,116129688,10.707,10.923,5.892,6.473,4.608,9.877,279.596,9.19667059227489e-63,1.6492695928813e-60
Adrbk2,"adrenergic receptor kinase, beta 2",6537,5,112910477,113015514,4.699,4.815,0.869,1.052,3.814,3.862,275.871,5.9606898450948e-62,1.04951491745269e-59
Tnfrsf21,"tumor necrosis factor receptor superfamily, member 21",3626,17,43016554,43089188,6.067,6.182,2.828,3.129,3.143,5.282,274.476,1.20042261649685e-61,2.07587368181349e-59
Il18,interleukin 18,714,9,50575272,50581837,5.364,5.295,1.208,1.733,3.848,4.43,274.166,1.40249815241851e-61,2.38277054526681e-59
Gpd1,glycerol-3-phosphate dehydrogenase 1 (soluble),2961,15,99717514,99725005,4.014,3.801,-1.539,-0.836,5.144,2.96,272.16,3.83923805103702e-61,6.41020367004181e-59
Mpzl1,myelin protein zero-like 1,2356,1,165592180,165634541,5.749,5.764,0.896,1.689,4.422,4.824,271.06,6.66658623796573e-61,1.09422408692305e-58
Lrrc25,leucine rich repeat containing 25,1273,8,70616843,70620850,5.833,5.641,2.727,2.761,3.002,4.912,262.837,4.13128537893398e-59,6.66789460159945e-57
Adm,adrenomedullin,1619,7,110627660,110629820,0.868,0.579,4.634,4.527,-3.876,3.682,261.707,7.28464800644349e-59,1.15646772613768e-56
Kctd12b,potassium channel tetramerisation domain containing 12b,4906,X,153685153,153696391,4.217,4.115,-0.159,0.163,4.194,3.25,261.072,1.00195542282453e-58,1.56498972816657e-56
RP24-247B20.1,,3235,9,46913492,46927366,3.664,3.72,-1.053,-2.917,5.556,2.733,259.881,1.82183359828807e-58,2.80041850251138e-56
Slc45a3,"solute carrier family 45, member 3",3563,1,131962966,131982969,3.587,3.91,-1.401,-1.463,5.307,2.804,255.727,1.46556509856379e-57,2.21758318976434e-55
1810011H11Rik,RIKEN cDNA 1810011H11 gene,1473,14,32785962,32817968,3.992,3.936,-1.691,-0.465,4.987,3.017,254.239,3.09334208362691e-57,4.608603805822e-55
Dock4,dedicator of cytokinesis 4,8063,12,40446052,40846486,4.384,4.44,0.389,0.719,3.874,3.513,252.788,6.40562727106964e-57,9.39880219591491e-55
St6galnac2,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",7090,11,116675302,116694868,3.961,3.929,-1.16,-0.281,4.657,3.009,252.636,6.91617152955377e-57,9.99644852122369e-55
Gtf2ird1,general transcription factor II I repeat domain-containing 1,4834,5,134357668,134456716,4.505,4.379,0.351,0.69,3.939,3.54,252.432,7.66149865723872e-57,1.09108754406911e-54
Clec12a,"C-type lectin domain family 12, member a",5139,6,129342690,129365303,6.748,6.731,2.856,3.41,3.584,5.856,252.238,8.44263270743017e-57,1.18490514693846e-54
Fmnl2,formin-like 2,6033,2,52857859,53134202,4.904,5.022,1.427,1.644,3.437,4.095,251.386,1.29519300019655e-56,1.7918070019862e-54
Rnf144b,ring finger protein 144B,4694,13,47122719,47247991,4.837,4.715,-0.274,0.629,4.559,3.841,250.129,2.43383652599346e-56,3.31961590390432e-54
Ltbr,lymphotoxin B receptor,2354,6,125306570,125313885,4.367,4.219,0.141,0.467,4.011,3.387,248.425,5.72565260368771e-56,7.70100275195997e-54
Tcf7l2,"transcription factor 7 like 2, T cell specific, HMG box",8739,19,55741809,55933654,3.945,4.081,-0.052,-0.018,4.091,3.105,247.523,9.00588666057848e-56,1.19469871809647e-53
Pilrb1,paired immunoglobin-like type 2 receptor beta 1,1020,5,137852146,137858049,5.703,5.485,0.534,1.378,4.597,4.659,245.13,2.99426019198309e-55,3.91843455394111e-53
Sdc3,syndecan 3,5989,4,130792536,130826319,8.35,8.381,5.542,5.812,2.683,7.575,240.743,2.70848735088453e-54,3.49719886746211e-52
Sepp1,"selenoprotein P, plasma, 1",2845,15,3268546,3280508,9.208,9.42,5.728,6.151,3.363,8.452,240.29,3.399308908491e-54,4.33143519339827e-52
Amz1,archaelysin family metallopeptidase 1,6697,5,140724126,140761439,4.795,4.676,1,1.322,3.582,3.857,240.193,3.56917610624337e-54,4.4888183653066e-52
Scamp5,secretory carrier membrane protein 5,3190,9,57441327,57468024,4.558,4.479,0.27,0.83,3.966,3.614,239.636,4.72063246919532e-54,5.86084677329327e-52
Mafb,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)",3363,2,160363702,160367065,7.041,6.59,2.849,3.198,3.803,5.934,238.946,6.67664846187062e-54,8.18438781072849e-52
Sdc2,syndecan 2,3322,15,32920722,33034730,3.083,3.316,-1.862,-2.917,5.733,2.246,238.292,9.27195621304114e-54,1.12237029958863e-51
Gm5150,predicted gene 5150,913,3,15948069,16006332,3.905,3.798,-0.772,-0.17,4.343,2.93,237.907,1.12503603290073e-53,1.34504307933466e-51
Prkar1b,"protein kinase, cAMP dependent regulatory, type I beta",3810,5,139017305,139150001,4.36,4.126,-0.159,0.285,4.203,3.33,237.664,1.27048627050441e-53,1.50041329799569e-51
A530099J19Rik,RIKEN cDNA A530099J19 gene,2773,13,19727416,19732951,2.725,2.538,-3.874,-4.889,8.197,1.66,237.056,1.7241778365101e-53,2.01167929744142e-51
Cdc42ep2,CDC42 effector protein (Rho GTPase binding) 2,1491,19,5917555,5924816,4.146,4.137,0.27,0.567,3.743,3.252,231.865,2.33722438826096e-52,2.69448583046657e-50
Rgs10,regulator of G-protein signalling 10,1711,7,128373620,128418758,5.731,5.712,2.38,2.809,3.116,4.881,231.601,2.66801312006437e-52,3.03965165349452e-50
Pparg,peroxisome proliferator activated receptor gamma,1984,6,115361220,115490401,4.853,4.624,0.389,0.982,4.049,3.832,231.452,2.87594347122866e-52,3.23844611341609e-50
Cmklr1,chemokine-like receptor 1,3408,5,113612353,113650426,4.129,4.209,0.427,-0.17,4.051,3.261,230.82,3.95008325493498e-52,4.39685129204487e-50
B4galt4,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 4",3032,16,38742263,38769049,3.567,3.888,-2.278,-1.017,5.362,2.781,230.725,4.14197255495924e-52,4.55805252525288e-50
Pak1,p21 protein (Cdc42/Rac)-activated kinase 1,3065,7,97842934,97912381,4.333,4.416,0.141,0.719,3.942,3.472,230.061,5.78200744291378e-52,6.2913438288963e-50
B430306N03Rik,RIKEN cDNA B430306N03 gene,6937,17,48316140,48327024,5.773,5.59,2.956,2.92,2.751,4.886,229.97,6.05086263601994e-52,6.51072819635746e-50
Maf,avian musculoaponeurotic fibrosarcoma oncogene homolog,8241,8,115682941,115707794,5.52,5.594,1.048,1.816,4.086,4.642,228.786,1.09684934354921e-51,1.16724055416819e-49
Sash1,SAM and SH3 domain containing 1,7183,10,8722218,8886070,6.155,5.933,1.681,2.35,4.002,5.137,228.492,1.27135799104827e-51,1.33824247666428e-49
Il18bp,interleukin 18 binding protein,1400,7,102015078,102018155,4.79,4.829,1.712,1.674,3.128,3.97,226.594,3.2974795102108e-51,3.43363350289048e-49
Nfasc,neurofascin,14145,1,132564689,132741797,2.507,2.409,-4.889,-3.908,8.021,1.488,225.218,6.57982167588358e-51,6.77861628821879e-49
Csf3r,colony stimulating factor 3 receptor (granulocyte),3609,4,126024549,126044440,3.986,3.97,0.311,0.397,3.653,3.096,223.509,1.55252727393898e-50,1.58259727587632e-48
Glis3,GLIS family zinc finger 3,8842,19,28258850,28680077,2.928,3.18,-3.283,-1.921,5.739,2.102,223.307,1.71841378405346e-50,1.73344990466393e-48
Slc8a1,"solute carrier family 8 (sodium/calcium exchanger), member 1",2934,17,81388690,81649607,4.077,4.242,0.389,0.567,3.708,3.275,223.034,1.97063853521078e-50,1.96738799742074e-48
Ctsb,cathepsin B,4739,14,63122461,63145919,11.697,11.8,8.921,9.187,2.69,10.958,222.95,2.05570770917283e-50,2.03137484241119e-48
Akr1b7,"aldo-keto reductase family 1, member B7",1281,6,34412333,34423142,3.656,4.18,-1.401,-1.338,5.422,2.984,222.328,2.80861826671931e-50,2.74733932271816e-48
Slc12a7,"solute carrier family 12, member 7",5131,13,73763696,73816743,5.354,5.259,1.742,2.204,3.324,4.447,222.182,3.02336983893793e-50,2.92783135202749e-48
Hbb-bs,"hemoglobin, beta adult s chain",863,7,103826533,103828096,7.476,6.93,2.897,3.259,4.143,6.309,220.295,7.79701202502043e-50,7.47586776735623e-48
Pdgfb,"platelet derived growth factor, B polypeptide",2918,15,79995899,80014808,3.604,3.538,-0.467,-0.339,4.026,2.667,220.091,8.64002811951565e-50,8.2029443440578e-48
Slc16a9,"solute carrier family 16 (monocarboxylic acid transporters), member 9",3869,10,70245099,70285968,5.458,5.367,0.27,1.245,4.593,4.474,219.465,1.18346496717798e-49,1.11268686817005e-47
Snta1,"syntrophin, acidic 1",3094,2,154376312,154408099,3.899,3.798,0.186,-0.067,3.824,2.956,219.327,1.26810221647642e-49,1.18079825618824e-47
Ppfia4,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4",6572,1,134296782,134332928,4.33,4.462,0.974,1.052,3.403,3.534,217.922,2.56870685431421e-49,2.36908163592179e-47
Serpinb6a,"serine (or cysteine) peptidase inhibitor, clade B, member 6a",5409,13,33917917,34002794,7.186,7.12,4.264,4.64,2.69,6.362,217.748,2.80337026400017e-49,2.5611167581677e-47
Kcnj16,"potassium inwardly-rectifying channel, subfamily J, member 16",3936,11,110968032,111027968,5.936,5.864,1.048,1.907,4.371,4.97,217.589,3.03573027642517e-49,2.74747775671975e-47
AF251705,cDNA sequence AF251705,1275,11,114996720,115001880,5.696,5.642,1.37,2.108,3.892,4.765,215.844,7.29383108401201e-49,6.54013520533077e-47
Mras,muscle and microspikes RAS,5134,9,99385419,99437381,3.583,3.436,-0.953,-0.465,4.262,2.595,214.83,1.21351573985357e-48,1.07813636924238e-46
Wdfy3,WD repeat and FYVE domain containing 3,15351,5,101832955,102069921,5.358,5.45,1.048,1.802,3.942,4.499,213.642,2.20478520021223e-48,1.94101271625956e-46
Ptgs1,prostaglandin-endoperoxide synthase 1,3884,2,36230425,36252272,6.613,6.809,2.361,3.04,3.979,5.804,212.062,4.87483838972888e-48,4.25296711406617e-46
Sort1,sortilin 1,7560,3,108284090,108361511,6.951,6.921,2.061,2.862,4.425,6.003,210.923,8.63867257881425e-48,7.46936654046761e-46
Cystm1,cysteine-rich transmembrane module containing 1,2840,18,36345618,36402980,3.32,3.292,-0.953,-0.676,4.184,2.396,210.162,1.26601127797408e-47,1.08496046158416e-45
Acer3,alkaline ceramidase 3,4319,7,98213657,98321208,5.832,5.904,3.175,3.405,2.577,5.094,209.377,1.87837792304441e-47,1.59563261462825e-45
Ear2,"eosinophil-associated, ribonuclease A family, member 2",719,14,44102653,44103534,5.862,5.855,1.617,2.36,3.83,4.958,204.421,2.26538425564694e-46,1.90765053319e-44
Agmo,alkylglycerol monooxygenase,6285,12,37241640,37582202,2.672,2.855,-3.283,-1.921,5.445,1.818,202.906,4.84909674407964e-46,4.01381876165205e-44
Rgl1,"ral guanine nucleotide dissociation stimulator,-like 1",5586,1,152516759,152766351,6.343,6.37,4.114,4.028,2.287,5.626,202.906,4.84940928452385e-46,4.01381876165205e-44
Ccdc148,coiled-coil domain containing 148,9274,2,58821696,59160683,3.964,3.917,0.229,-0.676,4.147,3.028,201.6,9.34565501843163e-46,7.66977315241457e-44
Ckb,"creatine kinase, brain",1478,12,111669354,111672338,5.694,5.478,2.936,2.718,2.765,4.79,200.903,1.32663808622059e-45,1.07959354848405e-43
Nfam1,Nfat activating molecule with ITAM motif 1,3222,15,82997720,83033306,6.318,6.361,3.962,4.094,2.312,5.605,200.284,1.81037383540749e-45,1.46097168517384e-43
Fgd4,"FYVE, RhoGEF and PH domain containing 4",17517,16,16416916,16600549,3.502,3.505,-0.612,-0.117,3.894,2.608,199.698,2.43072682122068e-45,1.94538500303315e-43
Sema6d,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D",10559,2,124089968,124667770,6.143,6.524,3.043,3.36,3.139,5.502,198.419,4.6216349485004e-45,3.66851744600638e-43
Vnn3,vanin 3,1811,10,23851461,23869843,4.038,4.15,-1.053,0.12,4.491,3.165,198.317,4.86490399944054e-45,3.83022197809611e-43
Lrp4,low density lipoprotein receptor-related protein 4,10504,2,91457510,91513779,4.36,4.081,-0.69,0.245,4.414,3.299,197.735,6.51780923214983e-45,5.0901987583983e-43
Ctsd,cathepsin D,2519,7,142371147,142388038,10.311,10.297,7.717,7.981,2.45,9.547,196.68,1.10756079049149e-44,8.58049495609568e-43
Epor,erythropoietin receptor,1829,9,21958898,21963576,3.809,3.752,-1.862,-0.339,4.757,2.842,196.608,1.14847655367782e-44,8.82686265540953e-43
Pdgfc,"platelet-derived growth factor, C polypeptide",5089,3,81036415,81214040,3.458,3.404,-0.159,-0.401,3.757,2.545,194.267,3.72371281655955e-44,2.83940432406006e-42
Tns1,tensin 1,13344,1,73910230,74124449,5.025,4.805,1.164,1.689,3.48,4.046,194.163,3.92348646053391e-44,2.96836272529769e-42
Nid2,nidogen 2,4884,14,19751256,19811787,3.095,3,-1.053,-1.116,4.221,2.138,194.078,4.09512804245055e-44,3.07420309791404e-42
Clec1b,"C-type lectin domain family 1, member b",5103,6,129397296,129409335,4.848,4.931,0.463,1.303,3.963,3.984,193.191,6.39486821517905e-44,4.76368490736876e-42
Lair1,leukocyte-associated Ig-like receptor 1,3760,7,4007072,4063204,6.323,6.338,2.409,3.08,3.552,5.45,192.674,8.29387461943164e-44,6.13113601637985e-42
Tgfbi,"transforming growth factor, beta induced",2678,13,56609602,56639339,6.684,6.598,2.491,3.193,3.761,5.745,192.183,1.06138040942327e-43,7.78667264004165e-42
Havcr2,hepatitis A virus cellular receptor 2,2721,11,46454934,46481255,3.31,3.349,-0.953,-0.339,4.001,2.429,192.08,1.11780685778287e-43,8.13897865471375e-42
Abcd2,"ATP-binding cassette, sub-family D (ALD), member 2",5527,15,91145883,91191807,3.992,3.818,-0.215,0.397,3.817,3.014,191.754,1.31671854593293e-43,9.51574805881681e-42
Dmpk,dystrophia myotonica-protein kinase,4330,7,19083848,19093821,4.388,4.284,0.186,0.908,3.768,3.445,190.575,2.38184736258801e-43,1.70857850809646e-41
Vwf,Von Willebrand factor homolog,16064,6,125546773,125686679,3.32,3.716,-0.69,-1.017,4.454,2.608,189.623,3.84241481832854e-43,2.736025375051e-41
Lphn3,,13291,5,81020137,81825133,2.725,3.012,-4.889,-1.752,5.721,1.921,188.132,8.13114674754535e-43,5.7475930732284e-41
Emr4,,3491,17,55749983,55853662,8.069,8.1,2.903,3.736,4.709,7.139,187.501,1.11628613686161e-42,7.83341662997671e-41
Apol7c,apolipoprotein L 7c,2044,15,77524866,77533315,2.928,3.386,-1.691,-3.329,5.703,2.219,187.162,1.32368039751848e-42,9.22195753206397e-41
Lrp12,low density lipoprotein-related protein 12,4574,15,39870602,39943994,3.233,3.18,-0.69,-0.465,3.838,2.317,185.919,2.47283302101067e-42,1.71049392681909e-40
Ttyh2,tweety homolog 2 (Drosophila),3739,11,114675430,114720977,4.177,4.175,0.427,0.982,3.465,3.307,185.718,2.73586935059578e-42,1.87901835398365e-40
Scarb1,"scavenger receptor class B, member 1",6291,5,125277086,125341094,6.324,6.316,4.159,3.984,2.249,5.597,185.083,3.76362594068228e-42,2.56668687391318e-40
Tmem65,transmembrane protein 65,3747,15,58782268,58823530,5.977,6.009,3.65,3.805,2.265,5.267,184.214,5.82593322020591e-42,3.94533827304014e-40
Tjp1,tight junction protein 1,7360,7,65296164,65371239,3.035,3.148,-0.953,-0.676,3.97,2.196,182.594,1.31518761277684e-41,8.84463669592425e-40
Gdpd1,glycerophosphodiester phosphodiesterase domain containing 1,2336,11,87033866,87074062,3.932,4.033,0.896,0.747,3.182,3.141,182.431,1.42748610596174e-41,9.53363824147135e-40
Fkbp9,FK506 binding protein 9,3314,6,56832058,56879358,3.059,2.842,-2.055,-1.116,4.576,2.029,182.344,1.49150694206998e-41,9.89298166233269e-40
Ubd,ubiquitin D,931,17,37193891,37196095,4.735,4.817,1.665,1.052,3.403,3.911,181.583,2.18686200227871e-41,1.44065113129707e-39
Tspan15,tetraspanin 15,3605,10,62185395,62231218,4.367,4.456,1.164,1.484,3.092,3.577,181.277,2.55084073698465e-41,1.66907714168644e-39
Kcna2,"potassium voltage-gated channel, shaker-related subfamily, member 2",3456,3,107101566,107106879,3.095,3.216,-1.16,-0.532,4.035,2.256,181.026,2.89303102795134e-41,1.88027600501213e-39
Ninj1,ninjurin 1,1570,13,49187484,49196244,6.718,6.605,4.173,4.451,2.345,5.923,180.843,3.17289707142068e-41,2.04842234930919e-39
Fam213b,"family with sequence similarity 213, member B",1027,4,154895503,154899135,5.386,5.271,2.897,2.888,2.442,4.576,180.337,4.09202884004218e-41,2.62431836337539e-39
Rab3il1,RAB3A interacting protein (rabin3)-like 1,4543,19,10001668,10038380,5.719,5.509,1.119,1.945,4.038,4.705,179.709,5.61006462354122e-41,3.57420169831403e-39
Oaf,out at first homolog,2388,9,43221277,43239816,3.295,3.386,-0.215,-1.017,3.97,2.443,178.906,8.39954286616314e-41,5.31641654352443e-39
Dlc1,deleted in liver cancer 1,14694,8,36567750,36953143,2.895,2.957,-1.053,-2.917,4.788,1.995,178.866,8.5709115913316e-41,5.38965635392567e-39
Abcc3,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3",5698,11,94343294,94392997,7.408,7.54,2.322,3.183,4.665,6.532,178.775,8.97219137377354e-41,5.60559362991116e-39
Tbc1d2b,"TBC1 domain family, member 2B",8799,9,90202026,90270804,3.938,4.196,0.814,0.534,3.418,3.209,178.327,1.12398326429247e-40,6.97734226372328e-39
F11r,F11 receptor,2663,1,171437534,171464603,4.563,4.244,0.534,1.029,3.63,3.529,178.156,1.22472262276658e-40,7.55427635596913e-39
Enpp2,ectonucleotide pyrophosphatase/phosphodiesterase 2,3473,15,54838897,54920146,2.533,2.882,-1.862,-2.917,5.245,1.776,177.743,1.50719709094651e-40,9.23778267640889e-39
Iqgap2,IQ motif containing GTPase activating protein 2,5771,13,95627176,95891922,3.244,3.216,-0.336,-0.339,3.618,2.356,177.704,1.53742492701336e-40,9.36378804603607e-39
Gpr35,G protein-coupled receptor 35,4839,1,92950864,92986391,4.662,4.91,0.949,1.55,3.524,3.916,177.316,1.86871993938594e-40,1.13104274331334e-38
