genes,name,ExonLength,chr,chr_start,chr_end,WT_FoB_1_log2(cpm),WT_FoB_2_log2(cpm),DKO_FoB_1_log2(cpm),DKO_FoB_2_log2(cpm),DKO_FoB_3_log2(cpm),DKO_ABC_1_log2(cpm),DKO_ABC_2_log2(cpm),DKO_ABC_3_log2(cpm),logFC_1*WT_FoB -1*DKO_FoB,logCPM_1*WT_FoB -1*DKO_FoB,LR_1*WT_FoB -1*DKO_FoB,PValue_1*WT_FoB -1*DKO_FoB,FDR_1*WT_FoB -1*DKO_FoB,logFC_1*WT_FoB -1*DKO_ABC,logCPM_1*WT_FoB -1*DKO_ABC,LR_1*WT_FoB -1*DKO_ABC,PValue_1*WT_FoB -1*DKO_ABC,FDR_1*WT_FoB -1*DKO_ABC,logFC_1*DKO_FoB -1*DKO_ABC,logCPM_1*DKO_FoB -1*DKO_ABC,LR_1*DKO_FoB -1*DKO_ABC,PValue_1*DKO_FoB -1*DKO_ABC,FDR_1*DKO_FoB -1*DKO_ABC,ENTREZID
Degs1,delta(4)-desaturase, sphingolipid 1,2591,1,182275771,182282804,6.01,6.224,5.545,5.813,5.556,6.223,6.622,6.308,0.479,6.082,4.313,0.037819724,0.102824436,-0.274,6.082,1.378,0.240449569,0.351402909,-0.752,6.082,13.015,0.000308985,0.00431385
Tcea2,transcription elongation factor A (SII),2,2704,2,181680309,181688071,3.374,3.374,3.457,1.617,1.726,3.818,1.735,1.831,0.85,2.886,1.215,0.270420113,0.420055967,0.574,2.886,0.552,0.457571478,0.573390383,-0.276,2.886,0.155,0.693529032,0.890502677
Zgpat,zinc finger, CCCH-type with G patch domain,5624,2,181364927,181383628,5.361,5.423,6.067,5.191,5.209,6.002,5.092,5.228,-0.157,5.494,0.17,0.680077496,0.785148892,-0.105,5.494,0.077,0.781347986,0.844463604,0.051,5.494,0.023,0.879409238,0.958059636
Helz2,helicase with zinc finger 2, transcriptional coactivator,11529,2,181227614,181242027,8.935,8.756,10.173,9.137,9.544,8.871,7.749,9.062,-0.834,9.169,3.575,0.058665,0.141579832,0.183,9.169,0.183,0.66844834,0.756981075,1.017,9.169,6.856,0.00883282,0.067175924
Ephx1,epoxide hydrolase 1, microsomal,2005,1,180976154,181020904,8.324,8.463,6.959,7.664,6.944,7.12,7.514,7.748,1.166,7.698,14.962,0.000109685,0.001516697,0.912,7.698,9.149,0.002489085,0.009204677,-0.254,7.698,0.86,0.353660927,0.697961967
Col20a1,collagen, type XX, alpha 1,4193,2,180986534,181017540,-0.062,0.535,0.897,-1.824,-1.411,2.263,-1.677,0.158,0.558,0.485,0.228,0.632668375,0.749195494,-0.802,0.485,0.451,0.501755876,0.613009715,-1.36,0.485,1.63,0.201686706
Pycr2,pyrroline-5-carboxylate reductase family, member 2,1598,1,180904273,180908087,6.35,6.319,5.971,6.199,6.536,6.014,6.1,5.395,0.08,6.145,0.079,0.778995452,0.854278395,0.467,6.145,2.707,0.09993629,0.176990107,0.387,6.145,2.278,0.131226537,0.433546375
H3f3a,H3 histone, family 3A,3504,1,180800831,180813943,9.665,9.675,8.362,9.626,8.449,7.801,8.736,8.015,0.735,8.968,2.859,0.090847446,0.192838134,1.428,8.968,10.826,0.001000604,0.00441488,0.693,8.968,3.078,0.079342603,0.323413431
Slc17a9,solute carrier family 17, member 9,3200,2,180725262,180742280,4.414,4.48,5.102,3.496,3.184,4.486,3.233,3.518,0.261,4.147,0.185,0.666759776,0.774682374,0.6,4.147,0.993,0.319103138,0.438259745,0.34,4.147,0.388,0.533281232,0.812198239
Parp1,poly (ADP-ribose) polymerase family, member 1,3846,1,180568954,180601253,9.193,9.21,8.916,9.099,9.176,8.435,8.46,8.714,0.134,8.932,0.376,0.539515841,0.672214175,0.66,8.932,9.294,0.002298726,0.008641715,0.526,8.932,7.184,0.00735619,0.058637358
Col9a3,collagen, type IX, alpha 3,3853,2,180597789,180622189,-0.062,-0.953,1.302,-3.368,-1.128,0.816,-3.409,-1.302,-0.463,-0.221,0.102,0.749455533,0.833289022,-0.017,-0.221,0,0.990661112,0.993632965,0.446,-0.221,0.121,0.728190774
Slco4a1,solute carrier organic anion transporter family, member 4a1,4799,2,180456244,180474867,2.753,2.556,2.794,2.34,3.104,2.824,1.79,1.699,-0.123,2.565,0.065,0.798182031,0.867919648,0.47,2.565,0.956,0.328225186,0.447755859,0.593,2.565,1.876,0.170829639,0.49708332
Itpkb,inositol 1,4,5-trisphosphate 3-kinase B,6235,1,180330484,180424802,7.137,7.115,7.254,7.371,7.124,6.618,6.311,6.569,-0.127,6.98,0.359,0.548937851,0.680506333,0.622,6.98,8.803,0.003007626,0.010680212,0.749,6.98,15.488,8.30360113238531e-05
Psma7,proteasome (prosome, macropain) subunit, alpha type 7,3072,2,180036372,180042433,7.983,7.993,6.999,7.803,7.748,6.869,7.682,7.074,0.428,7.581,1.672,0.195997813,0.333932898,0.737,7.581,4.992,0.025457983,0.060072318,0.309,7.581,1.07,0.301033521
Cnst,consortin, connexin sorting protein,8859,1,179546369,179627478,4.65,4.684,5.533,5.207,6.639,5.145,5.041,5.49,-1.265,5.441,8.585,0.003389386,0.018551753,-0.572,5.441,1.844,0.174501956,0.273598618,0.693,5.441,3.485,0.061931284,0.276524534
Tfb2m,transcription factor B2, mitochondrial,2804,1,179528054,179546267,3.153,3.068,3.168,3.236,3.07,3.167,3.136,2.82,-0.048,3.115,0.023,0.87843335,0.921896461,0.064,3.115,0.041,0.840083653,0.888505675,0.112,3.115,0.159,0.690431369,0.888400114
Fam217b,family with sequence similarity 217, member B,4559,2,178414523,178424428,-4.31,-4.31,-1.505,-4.31,-3.456,1.686,2.356,1.392,-4.113,0.593,4.608,0.031821762,0.090896854,-9.163,0.593,35.655,2.3549397133781e-09,6.80950436988882e-08,-5.049,0.593,33.585,6.82325592886064e-09,3.10538734400114e-07
Adss,adenylosuccinate synthetase, non muscle,4531,1,177762961,177796511,6.262,6.281,6.322,6.58,6.78,6.144,6.532,6.667,-0.302,6.462,1.447,0.228977133,0.373635819,-0.193,6.462,0.598,0.439383343,0.556510513,0.108,6.462,0.237,0.626178587,0.859081885
Nelfcd,negative elongation factor complex member C/D, Th1l,2883,2,174415803,174427502,6.718,6.703,6.385,6.045,6.231,6.124,5.957,5.993,0.484,6.3,5.373,0.020448434,0.065918542,0.685,6.3,10.778,0.001027124,0.004504383,0.201,6.3,1.127,0.288346522,0.643243109
Gnas,GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus,11186,2,174284319,174346744,7.543,7.574,7.133,7.721,7.588,7.65,8.019,7.704,0.056,7.635,0.05,0.823282045,0.884328233,-0.242,7.635,0.909,0.340250191,0.460465021,-0.298,7.635,1.746,0.186341073,0.521947454
Vapb,vesicle-associated membrane protein, associated protein B and C,7131,2,173737510,173784336,6.197,6.107,5.967,6.135,5.817,6.15,6.358,6.033,0.174,6.104,0.63,0.427480507,0.575176255,-0.034,6.104,0.024,0.877264174,0.915105203,-0.209,6.104,1.118,0.290301819,0.64498901
Rab22a,RAB22A, member RAS oncogene family,7206,2,173659759,173707343,5.793,5.834,5.938,5.902,5.712,5.842,5.946,5.913,-0.039,5.863,0.037,0.84724091,0.901513977,-0.087,5.863,0.182,0.670083271,0.758609598,-0.048,5.863,0.069,0.793178424,0.924720765
Pyhin1,pyrin and HIN domain family, member 1,3497,1,173630858,173647928,8.294,8.391,8.286,8.758,8.291,7.727,8.343,8.725,-0.119,8.382,0.136,0.711806626,0.806675667,0.022,8.382,0.005,0.945214548,0.962886397,0.141,8.382,0.241,0.62343645,0.8579233
Pmepa1,prostate transmembrane protein, androgen induced 1,4913,2,173224457,173276533,2.545,2.768,3.441,3.156,3.47,4.861,4.797,4.435,-0.706,3.936,5.173,0.022940166,0.071575794,-2.056,3.936,40.884,1.61538315002039e-10,6.37332055093368e-09,-1.35,3.936,25.55,4.31063691412301e-07,1.31480112736839e-05
Igsf9,immunoglobulin superfamily, member 9,6612,1,172481787,172498878,2.967,3.048,2.44,2.286,1.672,0.172,-0.595,0.099,0.85,2.029,3.815,0.05080455,0.127424733,3.149,2.029,44.72,2.27270886969194e-11,1.08564109643135e-09,2.299,2.029,27.192,1.84266038191131e-07,6.1742475405492e-06
Pigm,phosphatidylinositol glycan anchor biosynthesis, class M,7569,1,172376530,172384099,5.614,5.641,6.492,5.619,5.536,6.264,5.317,5.434,-0.323,5.796,0.668,0.413875014,0.562737611,-0.108,5.796,0.076,0.782473666,0.845285074,0.214,5.796,0.374,0.540805389,0.816043637
Cstf1,cleavage stimulation factor, 3' pre-RNA, subunit 1,3504,2,172370680,172382448,6.259,6.295,5.652,6.028,6.026,5.38,5.849,5.645,0.364,5.924,2.321,0.127600961,0.246572566,0.639,5.924,7.188,0.00734084,0.021950364,0.275,5.924,1.625,0.202431683
Fam210b,family with sequence similarity 210, member B,3617,2,172345564,172355749,4.624,4.824,4.321,4.816,3.766,4.237,4.679,4.389,0.365,4.496,1.103,0.293706044,0.446038081,0.28,4.496,0.648,0.420660486,0.539236551,-0.085,4.496,0.073,0.786548492,0.92264936
Kcnj10,potassium inwardly-rectifying channel, subfamily J, member 10,5407,1,172341209,172374085,-1.356,-2.582,3.593,-1.824,-0.892,4.76,3.964,4.268,-4.174,3.242,7.178,0.007381485,0.032236482,-6.454,3.242,13.807,0.000202535,0.00119515,-2.281,3.242,3.756,0.052613255
Kcnj9,potassium inwardly-rectifying channel, subfamily J, member 9,3270,1,172321032,172329263,-2.61,-4.31,-0.064,-4.31,-2.923,0.651,-2.462,-1.302,-2.376,-1.112,1.767,0.183715655,0.319313333,-3.401,-1.112,3.406,0.064956375,0.126947709,-1.025,-1.112,0.55,0.458270802
Igsf8,immunoglobulin superfamily, member 8,5217,1,172261640,172319841,4.769,4.66,4.281,4.067,3.178,5.198,5.217,4.114,0.805,4.565,3.492,0.06165487,0.146688698,-0.21,4.565,0.232,0.629863411,0.725944271,-1.015,4.565,6.665,0.009833589,0.072869417
Vangl2,vang-like 2 (van gogh, Drosophila),6990,1,172000959,172028444,3.614,3.308,3.187,2.478,2.407,2.408,1.913,2.263,0.742,2.814,3.506,0.0611457,0.145741091,1.271,2.814,10.19,0.001411955,0.005814821,0.529,2.814,2.105,0.146836577,0.459137363
B4galt3,UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3,5467,1,171270327,171276896,5.086,5.137,4.978,4.84,4.427,4.522,4.276,4.143,0.347,4.722,1.633,0.20123105,0.341091674,0.792,4.722,8.545,0.003465203,0.012004118,0.445,4.722,3.274,0.070398975
Sdhc,succinate dehydrogenase complex, subunit C, integral membrane protein,3250,1,171127164,171150603,6.549,6.648,5.558,6.374,6.074,5.818,6.518,6.026,0.559,6.241,3.272,0.070465255,0.160931144,0.448,6.241,2.092,0.148029416,0.240644079,-0.111,6.241,0.159,0.690013566
Fcgr3,Fc receptor, IgG, low affinity III,1736,1,171051173,171064935,-2.61,-1.321,3.392,-2.399,-3.456,4.916,3.614,3.745,-3.897,3.073,4.425,0.035415859,0.098179215,-6.288,3.073,9.08,0.0025837,0.009472746,-2.391,3.073,2.763,0.096482959
Fcgr4,Fc receptor, IgG, low affinity IV,1256,1,171018919,171029761,-1.161,-2.582,3.178,-0.335,0.252,4.705,4.088,4.399,-3.778,3.251,10.614,0.001122212,0.008412948,-6.339,3.251,23.842,1.04598914243566e-06,1.36783195549279e-05,-2.561,3.251,8.347,0.003863026
Fcgr2b,Fc receptor, IgG, low affinity IIb,3849,1,170960557,170976547,7.228,7.353,7.421,7.301,6.919,8.803,8.696,8.575,0.063,7.971,0.073,0.786476812,0.859651281,-1.403,7.971,32.694,1.07866045535806e-08,2.58163868818617e-07,-1.466,7.971,47.231,6.30983342798808e-12
Nuf2,NUF2, NDC80 kinetochore complex component,2481,1,169497933,169531464,2.284,1.85,4.738,2.49,6.122,4.419,4.043,4.567,-3.017,4.432,11.74,0.000611824,0.005436468,-2.288,4.432,7.27,0.00701032,0.021197828,0.729,4.432,1.107,0.292715894,0.646997273
Atp9a,ATPase, class II, type 9A,5917,2,168634437,168742409,0.609,0.7,1.371,0.822,1.221,2.935,2.267,2.152,-0.51,1.76,1.097,0.294953169,0.447354779,-1.864,1.76,14.25,0.000160051,0.000987293,-1.354,1.76,10.806,0.001011902
Nfatc2,nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2,10578,2,168476409,168601657,5.117,5.173,5.497,5.491,5.4,5.52,5.331,5.797,-0.319,5.432,1.869,0.17155354,0.304212136,-0.418,5.432,3.197,0.073761245,0.140312653,-0.099,5.432,0.232,0.630301844
Kcng1,potassium voltage-gated channel, subfamily G, member 1,4508,2,168260116,168281736,1.584,1.677,2.27,-0.253,-1.411,0.172,-2.859,-1.876,0.642,0.788,0.312,0.576360761,0.704292114,2.736,0.788,5.306,0.021255161,0.051859364,2.094,0.788,3.611,0.057384928
Ptpn1,protein tyrosine phosphatase, non-receptor type 1,5533,2,167932056,167979385,8.352,8.23,8.553,8.849,8.46,9.46,9.679,9.104,-0.338,8.926,1.726,0.188962184,0.326127627,-1.141,8.926,18.565,1.64183919983006e-05,0.000145929,-0.803,8.926,12.229,0.000470617,0.006189224
Cebpb,CCAAT/enhancer binding protein (C/EBP), beta,1504,2,167688914,167690418,1.5,1.18,1.754,2.379,1.364,3.072,2.78,1.065,-0.552,2.086,0.721,0.395964805,0.545702568,-1.196,2.086,3.258,0.071063611,0.13630253,-0.643,2.086,1.283,0.257258692,0.611161216
Slc9a8,solute carrier family 9 (sodium/hydrogen exchanger), member 8,9095,2,167421711,167477000,6.283,6.198,6.527,5.809,5.995,6.28,5.431,5.998,0.098,6.099,0.095,0.75819558,0.839765158,0.297,6.099,0.872,0.350484074,0.470842056,0.199,6.099,0.482,0.487535677,0.785559317
Aldh9a1,aldehyde dehydrogenase 9, subfamily A1,2833,1,167349990,167368530,6.169,6.313,5.939,6.471,6.694,6.111,6.507,6.232,-0.16,6.324,0.335,0.562552936,0.691967647,-0.051,6.324,0.034,0.853645553,0.899065469,0.109,6.324,0.197,0.657266204,0.874593688
B4galt5,UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5,4308,2,167298443,167349183,6.741,6.713,6.374,6.839,6.143,6.282,6.59,6.432,0.246,6.533,0.905,0.341461857,0.494773009,0.287,6.533,1.232,0.267054998,0.381365754,0.041,6.533,0.031,0.860569372
Tmsb4x,thymosin, beta 4, X chromosome,1371,X,167207092,167209315,12.118,12.292,10.967,11.881,11.328,11.201,12.033,11.72,0.766,11.759,4.942,0.026208051,0.078671793,0.516,11.759,2.234,0.134977349,0.223416116,-0.25,11.759,0.64,0.42385151
Kcnb1,potassium voltage gated channel, Shab-related subfamily, member 1,4060,2,167103377,167190155,2.428,2.126,3.664,3.454,2.93,3.167,2.834,2.657,-1.101,2.995,7.704,0.005508661,0.026077035,-0.618,2.995,2.48,0.115307957,0.19762194,0.482,2.995,2.02,0.15528763
Znfx1,zinc finger, NFX1-type containing 1,8189,2,167035792,167063015,6.445,6.326,6.729,6.871,6.192,6.498,6.33,6.626,-0.239,6.519,0.841,0.359144913,0.512251388,-0.103,6.519,0.157,0.691696586,0.776236534,0.136,6.519,0.345,0.557075626,0.825604964
Egfl6,EGF-like-domain, multiple 6,2704,X,166523006,166585720,-0.452,-0.025,0.749,-0.101,1.536,2.102,1.826,2.181,-1.149,1.328,3.413,0.06469874,0.15183058,-2.328,1.328,13.416,0.000249497,0.00141799,-1.179,1.328,5.361,0.020588721,0.128443397
Prex1,phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1,10266,2,166566341,166713832,6.866,6.737,7.409,7.307,6.999,8.43,8.202,7.962,-0.446,7.615,3.332,0.067959201,0.157066929,-1.408,7.615,31.008,2.56926207999014e-08,5.62512682664507e-07,-0.962,7.615,19.639,9.3527856577168e-06
Rab9,RAB9, member RAS oncogene family,1749,X,166457252,166479867,4.474,4.713,4.14,4.671,4.63,4.326,4.667,4.529,0.097,4.534,0.118,0.73130761,0.821050518,0.083,4.534,0.087,0.768296008,0.834727617,-0.014,4.534,0.003,0.956659195,0.985824593
Zmynd8,zinc finger, MYND-type containing 8,11031,2,165784151,165899016,6.665,6.507,7.092,6.751,6.788,7.213,6.909,7.089,-0.297,6.895,1.742,0.186920941,0.323473964,-0.487,6.895,4.655,0.03095573,0.070387145,-0.191,6.895,0.918,0.33794265,0.685077399
Slc35c2,solute carrier family 35, member C2,3914,2,165276553,165287869,7.065,7.123,6.167,6.444,5.989,6.47,6.579,6.353,0.882,6.574,15.859,6.82472380799267e-05,0.001077909,0.624,6.574,7.914,0.004906376,0.015865092,-0.258,6.574,1.647,0.199318998,0.53890752
Tiprl,TIP41, TOR signalling pathway regulator-like (S. cerevisiae),1886,1,165214921,165236943,5.483,5.76,5.164,5.61,5.578,5.223,5.561,5.339,0.163,5.479,0.431,0.511373365,0.650041357,0.247,5.479,0.988,0.320296429,0.439324196,0.083,5.479,0.14,0.707942308,0.893896066
Fancb,Fanconi anemia, complementation group B,2983,X,164980591,164997272,2.397,2.57,2.855,2.353,3.197,2.586,2.293,2.276,-0.36,2.611,0.803,0.370105223,0.523289675,0.097,2.611,0.059,0.808356297,0.865882023,0.457,2.611,1.65,0.198963066,0.538537507
Dnttip1,deoxynucleotidyltransferase, terminal, interacting protein 1,2122,2,164745982,164768607,5.241,5.203,4.413,4.756,4.606,4.28,4.619,4.437,0.623,4.737,6.343,0.011785608,0.04459628,0.77,4.737,9.668,0.001875029,0.007336285,0.146,4.737,0.424,0.515097132
Pigt,phosphatidylinositol glycan anchor biosynthesis, class T,3856,2,164497519,164508301,7.479,7.445,6.765,7.395,6.703,7.011,7.383,7.004,0.473,7.178,2.962,0.085225908,0.184014101,0.318,7.178,1.337,0.247507544,0.359445629,-0.154,7.178,0.388,0.533409086,0.812198239
Atp1b1,ATPase, Na+/K+ transporting, beta 1 polypeptide,2422,1,164437266,164458355,4.181,4.23,3.158,3.193,3.056,4.137,3.318,3.473,1.073,3.675,10.195,0.001408516,0.009880123,0.523,3.675,2.425,0.119384804,0.203342911,-0.55,3.675,3.214,0.07303281
Piga,phosphatidylinositol glycan anchor biosynthesis, class A,6379,X,164419792,164433916,2.704,2.389,3.862,2.929,4.134,3.533,2.961,3.215,-1.178,3.332,6.905,0.008595757,0.035666529,-0.702,3.332,2.519,0.112499693,0.193788135,0.476,3.332,1.537,0.215049826,0.560069944
Slc19a2,solute carrier family 19 (thiamine transporter), member 2,3838,1,164249045,164265385,2.443,2.692,2.606,2.638,2.875,2.824,2.843,2.485,-0.142,2.695,0.161,0.688589013,0.79039708,-0.154,2.695,0.188,0.664610252,0.753964133,-0.012,2.695,0.001,0.970052948,0.991189316
Kcns1,K+ voltage-gated channel, subfamily S,1,2712,2,164163618,164171113,-2.61,-2.15,0.107,-0.422,2.472,-1.018,-2.15,-0.778,-4.011,0.292,11.265,0.000789653,0.006600429,-1.369,0.292,1.444,0.229512757,0.339062936,2.642,0.292,8.353,0.003850027
Sell,selectin, lymphocyte,2321,1,164062075,164080785,9.896,9.984,10.014,10.856,9.752,9.072,9.959,10.207,-0.347,10.041,0.676,0.410859346,0.559911435,0.118,10.041,0.081,0.77659377,0.840615487,0.465,10.041,1.542,0.214364995,0.559654948
Car5b,carbonic anhydrase 5b, mitochondrial,6354,X,163976821,164027997,-1.582,-3.201,-4.31,-2.804,-2.923,1.369,1.465,0.869,1.367,0.067,1.834,0.175656018,0.309404989,-3.717,0.067,22.413,2.19924661990278e-06,2.58892982953932e-05,-5.084,0.067,46.783,7.93123708306288e-12,7.236811304905e-10
Ywhab,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide,3382,2,163994959,164018588,7.927,8.106,7.901,8.463,8.485,7.897,8.428,8.421,-0.288,8.226,1.045,0.306606077,0.459114799,-0.25,8.226,0.79,0.373981446,0.493800744,0.038,8.226,0.023,0.879785337,0.958063999
Zrsr2,zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2,7194,X,163935442,163958661,4.705,4.803,4.848,4.456,4.535,4.729,4.066,4.455,0.133,4.596,0.21,0.646844369,0.759756239,0.315,4.596,1.188,0.275661244,0.390807454,0.183,4.596,0.492,0.482925839,0.782494816
Ap1s2,adaptor-related protein complex 1, sigma 2 subunit,4965,X,163909016,163933666,4.064,4.557,4.893,5.032,5.173,5.994,6.687,6.679,-0.708,5.675,5.527,0.018725527,0.061724291,-2.16,5.675,46.021,1.16988591823079e-11,6.01061387322129e-10,-1.452,5.675,29.814,4.75579623438153e-08,1.80252473670329e-06
Pkig,protein kinase inhibitor, gamma,3990,2,163658385,163726158,8.065,8.092,7.167,7.544,7.378,7.332,7.744,7.134,0.708,7.601,8.019,0.004628467,0.023192493,0.653,7.601,6.812,0.009056969,0.026109368,-0.055,7.601,0.059,0.807515197,0.931456111
Gorab,golgin, RAB6-interacting,2855,1,163384907,163403669,2.87,2.898,3.149,3.319,3.104,3.083,2.86,3.092,-0.312,3.064,0.967,0.325381053,0.478611143,-0.132,3.064,0.173,0.677678628,0.764655686,0.18,3.064,0.415,0.519226346,0.805888367
Pigc,phosphatidylinositol glycan anchor biosynthesis, class C,4002,1,161969185,162027106,0.376,0.476,0.399,0.859,0.149,0.172,0.847,0.721,-0.074,0.579,0.021,0.884346268,0.926335888,-0.199,0.579,0.152,0.696426706,0.779879646,-0.124,0.579,0.078,0.780427182,0.919831416
Tnfsf18,tumor necrosis factor (ligand) superfamily, member 18,2066,1,161494654,161505290,-1.161,-0.659,-1.08,-1.604,-1.128,1.333,0.398,0.42,0.405,-0.029,0.356,0.550560848,0.681860231,-1.748,-0.029,7.464,0.006295213,0.019452729,-2.153,-0.029,14.659,0.00012884,0.002040263
Tnfsf4,tumor necrosis factor (ligand) superfamily, member 4,1842,1,161395408,161418410,-3.223,-2.582,-2.546,-2.804,-1.576,2.205,2.541,1.554,-0.943,0.884,0.875,0.349643236,0.503033704,-5.573,0.884,40.3,2.17829150711716e-10,8.42175579340282e-09,-4.631,0.884,49.205,2.30581549483631e-12,2.40137181264033e-10
Serpinc1,serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1,2157,1,160978605,161003010,-0.696,-3.201,-1.08,-1.824,-1.005,2.784,2.594,1.597,-0.22,1.194,0.071,0.790425949,0.862596336,-4.039,1.194,22.451,2.15527063454443e-06,2.55537728567524e-05,-3.818,1.194,29.727,4.97435717405413e-08
Plcg1,phospholipase C, gamma 1,7857,2,160731299,160775760,3.962,3.763,5.135,4.24,4.319,6.184,4.802,4.931,-0.759,4.873,2.411,0.120481917,0.237405955,-1.585,4.873,9.869,0.001681155,0.006719971,-0.826,4.873,3.719,0.053804291,0.25304215
Mafb,v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian),3363,2,160363702,160367065,-2.181,-3.201,3.757,-2.804,-0.597,5.163,3.199,3.334,-5.289,3.124,8.007,0.004660696,0.023293406,-7.245,3.124,12.584,0.000389146,0.002050697,-1.956,3.124,2.222,0.136044782,0.441143808
Eif1ax,eukaryotic translation initiation factor 1A, X-linked,5266,X,159372177,159389928,6.437,6.454,6.221,6.707,6.9,6.002,6.589,6.227,-0.192,6.469,0.465,0.495481155,0.636470609,0.152,6.469,0.296,0.58652963,0.688074134,0.344,6.469,1.88,0.170343605,0.4969851
Fam83d,family with sequence similarity 83, member D,3991,2,158768092,158786637,0.312,0.137,2.287,0.433,2.793,2.244,1.575,1.265,-1.948,1.704,6.655,0.00988618,0.039289006,-1.559,1.704,4.368,0.036614149,0.080253994,0.389,1.704,0.398,0.52812015,0.810632325
Ppp1r16b,protein phosphatase 1, regulatory (inhibitor) subunit 16B,8844,2,158665397,158766334,7.407,7.329,8.113,8.302,8.015,7.962,7.876,7.975,-0.78,7.905,13.562,0.000230777,0.002643987,-0.57,7.905,7.339,0.006746964,0.020562855,0.21,7.905,1.291,0.25581132,0.609980696
