ensembl_gene_id	external_gene_name	description	entrezgene	hsapiens_homolog_ensembl_gene	hsapiens_homolog_perc_id	hgnc_symbol	Human_description	Human_entrez_geneid	ensembl_peptide_ids	ensembl_transcript_ids	MRL_C1	MRL_C2	MRL_C3	MRL_C4	MRL_C5	MRL_C6	MRL_C7	MRL_C8	MRL_2DG_1	MRL_2DG_2	MRL_2DG_3	MRL_2DG_4	MRL_2DG_5	MRL_2DG_6	MRL_2DG_7	MRL_2DG_8	MRL_2DG_9
ENSMUSG00000000088	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]	12858	ENSG00000178741	87.6712	COX5A	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	9377	ENSMUSP00000000090	ENSMUST00000000090,ENSMUST00000214154,ENSMUST00000213678	5057	4694	2973	3882	5711	5341	3831	4405	3743	4332	4573	3787	5340	5565	4186	4445	5009
ENSMUSG00000000093	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]	21385	ENSG00000121068	95.0774	TBX2	T-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11597]	6909	ENSMUSP00000000095	ENSMUST00000000095	0	0	0	0	1	7	1	0	2	0	0	0	0	0	4	0	6
ENSMUSG00000000094	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]	21387	ENSG00000121075	92.7536	TBX4	T-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11603]	9496	ENSMUSP00000000096,ENSMUSP00000103682,ENSMUSP00000103680	ENSMUST00000000096,ENSMUST00000108047,ENSMUST00000108045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]	22768	ENSG00000180884	15.0579	ZNF792	zinc finger protein 792 [Source:HGNC Symbol;Acc:HGNC:24751]	126375	ENSMUSP00000111557,ENSMUSP00000139591	ENSMUST00000115891,ENSMUST00000187148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]	18053	ENSG00000064300	92.0375	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	4804	ENSMUSP00000000122	ENSMUST00000000122	132	214	143	81	121	272	301	205	280	269	220	231	124	237	258	212	179
ENSMUSG00000000125	Wnt3	wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]	22415	ENSG00000108379	98.8732	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	101929777	ENSMUSP00000000127	ENSMUST00000000127	7	1	2	0	1	0	1	4	0	0	6	1	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]	216795	ENSG00000143816	97.2603	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	7483	ENSMUSP00000104411,ENSMUSP00000000128	ENSMUST00000108783,ENSMUST00000000128	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000127	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]	14158	ENSG00000151422	92.8311	FER	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	2241	ENSMUSP00000156416,ENSMUSP00000156905,ENSMUSP00000037418,ENSMUSP00000000129,ENSMUSP00000156523	ENSMUST00000232945,ENSMUST00000233225,ENSMUST00000038080,ENSMUST00000000129,ENSMUST00000233190	133	64	130	151	192	91	115	128	42	71	93	73	152	179	144	159	323
ENSMUSG00000000131	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]	74204	ENSG00000169180	97.8667	XPO6	exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]	23214	ENSMUSP00000130527,ENSMUSP00000132462,ENSMUSP00000128058,ENSMUSP00000129658,ENSMUSP00000131299,ENSMUSP00000132958,ENSMUSP00000009344,ENSMUSP00000126904,ENSMUSP00000129881,ENSMUSP00000128919,ENSMUSP00000127323,ENSMUSP00000132205	ENSMUST00000166368,ENSMUST00000168189,ENSMUST00000167147,ENSMUST00000163959,ENSMUST00000166540,ENSMUST00000166719,ENSMUST00000206784,ENSMUST00000165660,ENSMUST00000009344,ENSMUST00000170675,ENSMUST00000171861,ENSMUST00000169059,ENSMUST00000167268,ENSMUST00000168564,ENSMUST00000165608,ENSMUST00000166538,ENSMUST00000167315,ENSMUST00000168649,ENSMUST00000168933,ENSMUST00000164741	15349	17386	12691	12332	15585	15906	16490	12419	16298	18339	16915	14092	15657	13304	12861	13196	11633
ENSMUSG00000000134	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]	209446	ENSG00000068323	96.1538	TFE3	transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol;Acc:HGNC:11752]	7030	ENSMUSP00000111343,ENSMUSP00000099219,ENSMUSP00000134125,ENSMUSP00000111344,ENSMUSP00000111342,ENSMUSP00000111341,ENSMUSP00000120920,ENSMUSP00000078498,ENSMUSP00000076864	ENSMUST00000115679,ENSMUST00000101695,ENSMUST00000137467,ENSMUST00000115680,ENSMUST00000115678,ENSMUST00000133456,ENSMUST00000115677,ENSMUST00000143680,ENSMUST00000144900,ENSMUST00000079542,ENSMUST00000126694,ENSMUST00000144715,ENSMUST00000077680,ENSMUST00000132209	3230	2970	2114	2173	2815	3196	2876	2329	2782	3240	2865	2108	3026	2659	2814	2866	3170
ENSMUSG00000000142	Axin2	axin 2 [Source:MGI Symbol;Acc:MGI:1270862]	12006	ENSG00000168646	90.3571	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	8313	ENSMUSP00000051331,ENSMUSP00000116956,ENSMUSP00000119915,ENSMUSP00000120664,ENSMUSP00000102322	ENSMUST00000052915,ENSMUST00000152909,ENSMUST00000144511,ENSMUST00000139682,ENSMUST00000140821,ENSMUST00000144130,ENSMUST00000106711	3	0	0	0	0	1	1	0	0	0	0	1	0	4	1	3	1
ENSMUSG00000000148	Brat1	BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]	231841	ENSG00000106009	69.6655	BRAT1	BRCA1 associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]	221927	ENSMUSP00000036016,ENSMUSP00000114216,ENSMUSP00000106429,ENSMUSP00000098074	ENSMUST00000041588,ENSMUST00000153440,ENSMUST00000110806,ENSMUST00000100505,ENSMUST00000124892,ENSMUST00000131905	5052	6859	2891	2989	4667	4585	4063	3439	6243	6803	4438	4442	5133	5137	4337	5441	4380
ENSMUSG00000000149	Gna12	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]	14673	ENSG00000146535	98.153	GNA12	G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]	2768	ENSMUSP00000143414,ENSMUSP00000000153	ENSMUST00000198447,ENSMUST00000000153	4048	3965	1995	2038	2674	2936	2438	2415	2785	4270	2980	2533	2586	2693	2603	2113	2974
ENSMUSG00000000154	Slc22a18	solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]	18400	ENSG00000110628	78.5366	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	5002	ENSMUSP00000123047,ENSMUSP00000101537,ENSMUSP00000115345,ENSMUSP00000120434,ENSMUSP00000056082	ENSMUST00000150791,ENSMUST00000105917,ENSMUST00000145943,ENSMUST00000141988,ENSMUST00000052348	70	32	37	62	98	105	78	49	27	39	54	10	46	56	89	67	45
ENSMUSG00000000157	Itgb2l	integrin beta 2-like [Source:MGI Symbol;Acc:MGI:1277979]	16415	ENSG00000160255	53.7107	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	3689	ENSMUSP00000109403,ENSMUSP00000114497,ENSMUSP00000000161	ENSMUST00000113773,ENSMUST00000131567,ENSMUST00000000161,ENSMUST00000233827,ENSMUST00000131777	8	0	1	0	0	0	8	0	0	0	0	0	0	3	11	0	18
ENSMUSG00000000159	Igsf5	immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]	72058		NA			NA	ENSMUSP00000109425,ENSMUSP00000000163,ENSMUSP00000079874,ENSMUSP00000117904	ENSMUST00000113794,ENSMUST00000000163,ENSMUST00000081093,ENSMUST00000139595,ENSMUST00000136292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167	Pih1d2	PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]	72614	ENSG00000150773	72.381	PIH1D2	PIH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25210]	120379	ENSMUSP00000119253,ENSMUSP00000118064,ENSMUSP00000121100,ENSMUSP00000122789,ENSMUSP00000000171	ENSMUST00000151197,ENSMUST00000132187,ENSMUST00000124029,ENSMUST00000125606,ENSMUST00000141366,ENSMUST00000000171,ENSMUST00000155773	31	29	6	22	37	24	20	33	23	34	45	30	22	31	4	9	45
ENSMUSG00000000168	Dlat	dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]	235339	ENSG00000150768	85.9813	DLAT	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	1737	ENSMUSP00000034567	ENSMUST00000155417,ENSMUST00000125919,ENSMUST00000142275,ENSMUST00000126933,ENSMUST00000034567,ENSMUST00000132455	3305	3073	2225	2549	3698	3785	3128	2730	2843	2918	3311	3118	3473	3827	3177	3404	3542
ENSMUSG00000000171	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]	66925	ENSG00000204370	81.761	SDHD	succinate dehydrogenase complex subunit D [Source:HGNC Symbol;Acc:HGNC:10683]	6392	ENSMUSP00000000175	ENSMUST00000000175	10803	9551	8285	10360	13202	13181	11240	11116	8693	9481	11282	10480	14330	14363	11595	11923	13025
ENSMUSG00000000182	Fgf23	fibroblast growth factor 23 [Source:MGI Symbol;Acc:MGI:1891427]	64654	ENSG00000118972	70.5179	FGF23	fibroblast growth factor 23 [Source:HGNC Symbol;Acc:HGNC:3680]	8074	ENSMUSP00000000186	ENSMUST00000000186	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	fibroblast growth factor 6 [Source:MGI Symbol;Acc:MGI:95520]	14177	ENSG00000111241	93.2692	FGF6	fibroblast growth factor 6 [Source:HGNC Symbol;Acc:HGNC:3684]	2251	ENSMUSP00000000187	ENSMUST00000000187	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]	12444	ENSG00000118971	92.0415	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	894	ENSMUSP00000144006,ENSMUSP00000000188,ENSMUSP00000144245,ENSMUSP00000144095	ENSMUST00000201564,ENSMUST00000201902,ENSMUST00000000188,ENSMUST00000201637,ENSMUST00000202363,ENSMUST00000201985,ENSMUST00000201857,ENSMUST00000201066	11271	6772	6854	10339	10803	9429	10549	8330	5889	8019	10178	11344	12566	9597	10873	9973	12618
ENSMUSG00000000194	Gpr107	G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]	277463	ENSG00000148358	84.5735	GPR107	G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:HGNC:17830]	57720	ENSMUSP00000056739	ENSMUST00000133207,ENSMUST00000172422,ENSMUST00000056433,ENSMUST00000146747,ENSMUST00000153032,ENSMUST00000151991,ENSMUST00000149622,ENSMUST00000147099,ENSMUST00000169333,ENSMUST00000127872,ENSMUST00000194084	3928	4661	2535	2833	3734	4052	3744	2977	3943	4417	4265	3008	4535	4082	4186	4552	4111
ENSMUSG00000000197	Nalcn	sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]	338370	ENSG00000102452	98.6199	NALCN	sodium leak channel, non-selective [Source:HGNC Symbol;Acc:HGNC:19082]	259232	ENSMUSP00000000201	ENSMUST00000227541,ENSMUST00000228789,ENSMUST00000228860,ENSMUST00000000201,ENSMUST00000226617,ENSMUST00000228766,ENSMUST00000227818	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000202	Btbd17	BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]	72014	ENSG00000204347	92.6778	BTBD17	BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:33758]	388419	ENSMUSP00000000206	ENSMUST00000000206,ENSMUST00000146853,ENSMUST00000156053,ENSMUST00000141386,ENSMUST00000141481,ENSMUST00000137965,ENSMUST00000156192	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	Slfn4	schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010]	20558	ENSG00000172123	40.8638	SLFN12	schlafen family member 12 [Source:HGNC Symbol;Acc:HGNC:25500]	55106	ENSMUSP00000000208,ENSMUSP00000150793,ENSMUSP00000132595	ENSMUST00000000208,ENSMUST00000215472,ENSMUST00000167596	225	129	44	60	53	65	75	68	95	110	71	25	85	71	17	35	36
ENSMUSG00000000214	Th	tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]	21823	ENSG00000180176	87.751	TH	tyrosine hydroxylase [Source:HGNC Symbol;Acc:HGNC:11782]	7054	ENSMUSP00000000219,ENSMUSP00000115434,ENSMUSP00000122162,ENSMUSP00000122876,ENSMUSP00000123661,ENSMUSP00000101549	ENSMUST00000000219,ENSMUST00000140344,ENSMUST00000123057,ENSMUST00000124951,ENSMUST00000138482,ENSMUST00000105929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	insulin II [Source:MGI Symbol;Acc:MGI:96573]	16334	ENSG00000254647	81.8182	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	3630	ENSMUSP00000101550,ENSMUSP00000147425,ENSMUSP00000101551,ENSMUSP00000000220,ENSMUSP00000101554,ENSMUSP00000101552,ENSMUSP00000115147,ENSMUSP00000124643,ENSMUSP00000101553	ENSMUST00000105930,ENSMUST00000210288,ENSMUST00000105931,ENSMUST00000000220,ENSMUST00000105934,ENSMUST00000105932,ENSMUST00000125933,ENSMUST00000162317,ENSMUST00000105933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	sodium channel, nonvoltage-gated 1 gamma [Source:MGI Symbol;Acc:MGI:104695]	20278	ENSG00000166828	85.4962	SCNN1G	sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]	6340	ENSMUSP00000000221	ENSMUST00000000221	0	1	2	0	2	0	0	0	0	1	0	0	0	0	0	1	0
ENSMUSG00000000223	Drp2	dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]	13497	ENSG00000102385	90.316	DRP2	dystrophin related protein 2 [Source:HGNC Symbol;Acc:HGNC:3032]	1821	ENSMUSP00000108850,ENSMUSP00000108854,ENSMUSP00000108852,ENSMUSP00000115246	ENSMUST00000113224,ENSMUST00000000228,ENSMUST00000142146,ENSMUST00000113228,ENSMUST00000113226,ENSMUST00000153424	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0
ENSMUSG00000000244	Tspan32	tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]	27027	ENSG00000064201	63.2812	TSPAN32	tetraspanin 32 [Source:HGNC Symbol;Acc:HGNC:13410]	10077	ENSMUSP00000115344,ENSMUSP00000009396,ENSMUSP00000074667,ENSMUSP00000080668,ENSMUSP00000146865,ENSMUSP00000101543,ENSMUSP00000101544,ENSMUSP00000116212,ENSMUSP00000101545	ENSMUST00000143512,ENSMUST00000009396,ENSMUST00000075172,ENSMUST00000154264,ENSMUST00000141186,ENSMUST00000082008,ENSMUST00000207211,ENSMUST00000105923,ENSMUST00000207449,ENSMUST00000105924,ENSMUST00000145212,ENSMUST00000105925	11558	14510	7964	8596	11901	13202	11657	11510	12792	15690	12849	11682	13621	13693	12388	13423	13018
ENSMUSG00000000247	Lhx2	LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785]	16870	ENSG00000106689	99.0148	LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]	9355	ENSMUSP00000121462,ENSMUSP00000115179,ENSMUSP00000114797,ENSMUSP00000135402,ENSMUSP00000000253	ENSMUST00000175896,ENSMUST00000155964,ENSMUST00000149664,ENSMUST00000133661,ENSMUST00000143783,ENSMUST00000176229,ENSMUST00000000253	2	0	0	0	2	0	0	0	0	0	0	3	0	1	0	1	10
ENSMUSG00000000248	Clec2g	C-type lectin domain family 2, member g [Source:MGI Symbol;Acc:MGI:1918059]	70809	ENSG00000069493	26.3941	CLEC2D	C-type lectin domain family 2 member D [Source:HGNC Symbol;Acc:HGNC:14351]	29121	ENSMUSP00000144879,ENSMUSP00000144788,ENSMUSP00000000254,ENSMUSP00000075192,ENSMUSP00000115140	ENSMUST00000204259,ENSMUST00000203405,ENSMUST00000000254,ENSMUST00000075789,ENSMUST00000146925,ENSMUST00000142388	109	59	68	70	44	77	45	65	110	83	63	48	29	51	29	21	33
ENSMUSG00000000253	Gmpr	guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]	66355	ENSG00000137198	95.3623	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	2766	ENSMUSP00000120825,ENSMUSP00000000260	ENSMUST00000128873,ENSMUST00000222227,ENSMUST00000129176,ENSMUST00000000260	190	117	260	115	519	235	219	178	62	231	345	100	176	626	330	183	315
ENSMUSG00000000263	Glra1	glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]	14654	ENSG00000145888	97.1554	GLRA1	glycine receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4326]	2741	ENSMUSP00000099777,ENSMUSP00000104481,ENSMUSP00000075032	ENSMUST00000102716,ENSMUST00000108853,ENSMUST00000075603	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	midline 2 [Source:MGI Symbol;Acc:MGI:1344333]	23947	ENSG00000080561	99.1608	MID2	midline 2 [Source:HGNC Symbol;Acc:HGNC:7096]	11043	ENSMUSP00000123221,ENSMUSP00000108612,ENSMUSP00000108617,ENSMUSP00000108614	ENSMUST00000128809,ENSMUST00000112988,ENSMUST00000112993,ENSMUST00000140144,ENSMUST00000112990	17	17	33	0	18	8	58	41	8	2	47	11	35	19	53	36	104
ENSMUSG00000000275	Trim25	tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]	217069	ENSG00000121060	73.3438	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	7706	ENSMUSP00000103528,ENSMUSP00000098192,ENSMUSP00000000284	ENSMUST00000107896,ENSMUST00000100627,ENSMUST00000000284	6049	7172	3176	2821	3650	3509	3721	3478	5856	5961	4597	3917	4206	4094	3743	3911	4252
ENSMUSG00000000276	Dgke	diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]	56077	ENSG00000153933	91.3121	DGKE	diacylglycerol kinase epsilon [Source:HGNC Symbol;Acc:HGNC:2852]	8526	ENSMUSP00000103526,ENSMUSP00000000285,ENSMUSP00000116277	ENSMUST00000107894,ENSMUST00000000285,ENSMUST00000152772	1096	865	668	589	771	617	803	747	1161	1137	968	597	699	840	866	572	876
ENSMUSG00000000278	Scpep1	serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]	74617	ENSG00000121064	82.3009	SCPEP1	serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]	59342	ENSMUSP00000000287	ENSMUST00000000287	16394	16666	15394	14492	20145	23622	23477	16971	14280	15080	21639	17497	23239	21712	22531	20607	18800
ENSMUSG00000000282	Mnt	max binding protein [Source:MGI Symbol;Acc:MGI:109150]	17428	ENSG00000070444	92.7242	MNT	MAX network transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:7188]	4335	ENSMUSP00000000291,ENSMUSP00000118435	ENSMUST00000000291,ENSMUST00000132150,ENSMUST00000133217	783	719	489	354	649	604	486	394	746	712	529	416	477	552	429	541	473
ENSMUSG00000000290	Itgb2	integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]	16414	ENSG00000160255	80.5195	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	3689	ENSMUSP00000000299,ENSMUSP00000137734,ENSMUSP00000118191,ENSMUSP00000119657,ENSMUSP00000137865	ENSMUST00000000299,ENSMUST00000153541,ENSMUST00000130059,ENSMUST00000131023,ENSMUST00000156644	27233	28108	17398	19673	29081	27015	25936	21497	22051	28761	25460	20194	29127	26472	25310	27943	23904
ENSMUSG00000000295	Hddc2	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]	69692	ENSG00000111906	88.9447	HDDC2	HD domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21078]	51020	ENSMUSP00000000304,ENSMUSP00000124106	ENSMUST00000000304,ENSMUST00000159659,ENSMUST00000160447,ENSMUST00000159194,ENSMUST00000162076	1836	1877	1083	1367	2086	1847	1573	1527	1996	2113	1716	1574	2004	1606	1512	1839	1538
ENSMUSG00000000296	Tpd52l1	tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]	21987	ENSG00000111907	88.5167	TPD52L1	TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006]	7164	ENSMUSP00000149177,ENSMUSP00000150184,ENSMUSP00000000305,ENSMUSP00000149266,ENSMUSP00000149749	ENSMUST00000213528,ENSMUST00000213639,ENSMUST00000000305,ENSMUST00000215515,ENSMUST00000214644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
